TS,X,Y,Z,Activity
1569902140162,2.3588867,3.8636475,0.33518982,WALKING
1569902140182,2.0254974,3.0597992,0.83976746,WALKING
1569902140203,1.4287415,2.1314392,1.0175323,WALKING
1569902140223,1.6945038,1.2695313,1.1438293,WALKING
1569902140242,1.8417511,0.7685394,1.125885,WALKING
1569902140263,2.2068634,1.0091705,1.5544434,WALKING
1569902140283,2.0781708,2.478592,3.344696,WALKING
1569902140301,1.5131378,4.969757,5.6670837,WALKING
1569902140322,0.39683533,11.32399,9.598953,WALKING
1569902140342,-0.98521423,20.542252,15.416275,WALKING
1569902140362,-1.0055695,20.406387,14.002502,WALKING
1569902140383,-2.6946716,11.8016205,5.6215973,WALKING
1569902140402,0.8164215,3.7565002,5.0302277,WALKING
1569902140422,4.9344482,2.7886505,7.594406,WALKING
1569902140442,2.1637573,13.61882,7.4693146,WALKING
1569902140462,-0.63087463,23.961182,6.9389954,WALKING
1569902140483,1.6214752,9.397842,-3.1800995,WALKING
1569902140501,5.174469,-3.1555634,-9.688141,WALKING
1569902140522,8.75679,3.4021606,4.5956726,WALKING
1569902140541,2.138031,10.281296,2.1829224,WALKING
1569902140561,-6.8988953,13.10228,-3.8456879,WALKING
1569902140581,-7.8218536,15.212769,0.34776306,WALKING
1569902140601,-5.2546844,12.358276,2.4019775,WALKING
1569902140622,-1.6537933,8.313873,2.936493,WALKING
1569902140641,1.7100677,6.8677673,1.0809937,WALKING
1569902140662,3.9552307,7.9074554,0.31724548,WALKING
1569902140681,-0.99658203,9.493607,0.18255615,WALKING
1569902140701,-3.675705,9.01297,-0.5273285,WALKING
1569902140721,-3.0825348,8.069672,-0.15861511,WALKING
1569902140741,-0.40641785,8.094208,1.2551575,WALKING
1569902140761,0.25679016,8.412628,1.2515717,WALKING
1569902140781,-0.6608124,8.38031,0.5883789,WALKING
1569902140801,-1.2533722,8.312073,0.043701172,WALKING
1569902140821,-1.209671,7.795517,0.28730774,WALKING
1569902140841,-0.24061584,7.940979,0.47465515,WALKING
1569902140860,-0.27713013,9.146454,0.52911377,WALKING
1569902140880,-0.9002228,10.3267975,0.2232666,WALKING
1569902140900,-1.3024445,10.591354,0.19154358,WALKING
1569902140921,-2.8167877,10.424957,-0.56863403,WALKING
1569902140942,-2.8688507,12.11705,-0.31604004,WALKING
1569902140960,-1.0726013,14.403519,3.0113068,WALKING
1569902140982,-0.92596436,13.45842,1.0744019,WALKING
1569902141000,-2.3098145,15.195999,-0.30766296,WALKING
1569902141020,-3.79422,14.705795,1.2120667,WALKING
1569902141040,-0.37350464,11.368866,-1.0534515,WALKING
1569902141060,2.0578156,11.025299,-2.0099335,WALKING
1569902141080,1.3036499,15.063126,-0.08140564,WALKING
1569902141100,1.1288757,17.089813,-0.62249756,WALKING
1569902141121,3.8355103,16.162064,0.36990356,WALKING
1569902141140,2.6851044,15.239105,1.6813354,WALKING
1569902141160,0.7553711,14.097061,-0.40881348,WALKING
1569902141180,-0.52493286,11.905167,-0.76675415,WALKING
1569902141200,-3.332138,9.287704,-0.5345154,WALKING
1569902141220,-2.122467,6.79834,-2.1182709,WALKING
1569902141240,-0.18495178,4.7878113,-0.90441895,WALKING
1569902141260,1.8579102,3.6391907,0.15322876,WALKING
1569902141280,2.2206268,2.4696198,0.96606445,WALKING
1569902141301,2.082962,2.0470428,1.3209991,WALKING
1569902141319,1.4455109,1.4215698,1.2294312,WALKING
1569902141341,1.1923218,1.031311,1.3964233,WALKING
1569902141361,1.2360077,0.9427185,1.8734589,WALKING
1569902141379,1.6226807,1.683136,3.7200012,WALKING
1569902141399,1.4975739,3.6254272,5.6898193,WALKING
1569902141419,1.1474304,9.773727,8.073853,WALKING
1569902141439,-0.49560547,22.679672,14.073715,WALKING
1569902141460,0.6380615,24.762634,14.614212,WALKING
1569902141479,-0.509964,11.004349,7.2759857,WALKING
1569902141500,1.5263062,1.5125427,3.6667328,WALKING
1569902141519,5.190033,-0.012573242,5.4845123,WALKING
1569902141539,3.8917694,12.049423,7.497452,WALKING
1569902141559,-0.8990326,27.41182,7.371155,WALKING
1569902141580,1.5759888,13.557175,-5.127182,WALKING
1569902141599,4.130005,-2.3175964,-9.203323,WALKING
1569902141619,8.7256775,1.9111786,6.2554626,WALKING
1569902141639,1.1157074,8.418015,0.5985565,WALKING
1569902141659,-6.632538,12.221802,-3.3345337,WALKING
1569902141680,-7.3041077,16.233292,-0.46089172,WALKING
1569902141699,-6.1878204,13.223175,1.663971,WALKING
1569902141719,-2.8808289,8.422806,3.8714294,WALKING
1569902141746,0.6171112,6.6032104,1.6382294,WALKING
1569902141760,3.8929749,7.4136505,0.012573242,WALKING
1569902141779,2.3852234,9.258972,-0.375885,WALKING
1569902141798,-2.293045,9.138672,-0.95469666,WALKING
1569902141818,-2.6503906,8.188171,0.25917053,WALKING
1569902141839,-0.47106934,8.271973,-0.19393921,WALKING
1569902141858,0.93792725,8.77475,1.0348969,WALKING
1569902141880,-0.5955658,8.616135,0.5309143,WALKING
1569902141899,-1.6932983,8.269577,0.011978149,WALKING
1569902141918,-1.327591,8.38031,-0.2531891,WALKING
1569902141938,-0.24002075,9.058472,0.60873413,WALKING
1569902141958,-0.14305115,9.936539,0.59317017,WALKING
1569902141978,-0.27235413,9.614517,0.40283203,WALKING
1569902141998,-1.4125824,10.141846,-0.93014526,WALKING
1569902142018,-3.070572,9.956284,-1.4592743,WALKING
1569902142038,-3.1220398,12.467209,-0.9977875,WALKING
1569902142058,-0.93434143,14.126999,2.5127258,WALKING
1569902142078,-0.19692993,13.315353,2.149994,WALKING
1569902142097,-1.4419098,14.465775,1.2455902,WALKING
1569902142117,-3.0490265,13.0585785,2.528885,WALKING
1569902142138,-1.3162079,10.903198,0.8206177,WALKING
1569902142158,1.532898,10.4530945,-0.93014526,WALKING
1569902142179,1.9237518,13.195648,0.111343384,WALKING
1569902142200,1.9045868,16.949158,0.8122406,WALKING
1569902142217,3.3327332,16.118378,1.8782501,WALKING
1569902142237,2.8383331,14.6471405,0.90859985,WALKING
1569902142259,1.091156,14.090485,1.7525635,WALKING
1569902142277,-1.9584503,12.066177,0.61172485,WALKING
1569902142297,-4.3490753,9.515167,0.32980347,WALKING
1569902142317,-1.9871979,7.72789,0.84994507,WALKING
1569902142338,0.7044983,5.625778,-0.15682983,WALKING
1569902142357,3.0729675,4.1132355,0.4698639,WALKING
1569902142376,3.944458,3.463211,1.193512,WALKING
1569902142399,3.0723724,2.9340973,1.6364441,WALKING
1569902142417,2.8018188,2.351715,2.118866,WALKING
1569902142438,1.8184052,2.1565857,2.177536,WALKING
1569902142457,1.1863251,2.0632172,2.3966064,WALKING
1569902142476,1.4024048,2.5468292,3.430893,WALKING
1569902142496,1.1330566,3.995926,4.2515106,WALKING
1569902142516,0.99838257,7.419632,5.9741364,WALKING
1569902142536,0.47705078,14.623795,9.9431305,WALKING
1569902142556,0.0796051,19.66597,13.651138,WALKING
1569902142576,-0.7511902,14.661499,11.595718,WALKING
1569902142596,-1.8124237,8.531143,5.949005,WALKING
1569902142616,0.51535034,2.723404,3.8133698,WALKING
1569902142636,3.8295288,-0.2172699,5.9992676,WALKING
1569902142656,3.790619,6.5954285,7.0227966,WALKING
1569902142676,0.94091797,22.618027,3.7337646,WALKING
1569902142696,-0.31604004,28.687927,2.5809479,WALKING
1569902142716,5.5677185,3.7696686,-2.2870636,WALKING
1569902142737,6.7696075,-2.7521362,-4.4298706,WALKING
1569902142756,7.0353546,2.395401,4.767456,WALKING
1569902142776,-0.81103516,8.456924,0.75956726,WALKING
1569902142796,-7.4573364,13.575729,-3.0609894,WALKING
1569902142815,-7.8721466,17.088013,-1.1599884,WALKING
1569902142836,-3.0388489,11.798035,1.9045868,WALKING
1569902142856,0.24061584,7.7326813,4.2078094,WALKING
1569902142876,2.7545319,6.2428894,1.122879,WALKING
1569902142897,3.5164795,7.847595,-0.28730774,WALKING
1569902142916,-0.11073303,10.305847,-0.18675232,WALKING
1569902142936,-2.2277985,9.239822,-0.32202148,WALKING
1569902142956,-2.0464478,8.811859,0.94511414,WALKING
1569902142976,-1.2533722,8.570648,0.541687,WALKING
1569902142996,-0.040115356,8.653839,1.0091553,WALKING
1569902143015,-1.1420441,8.553284,0.8966217,WALKING
1569902143037,-1.9812012,7.64769,0.7739258,WALKING
1569902143056,-0.27713013,8.998016,1.3138275,WALKING
1569902143076,-0.4519043,8.20433,-0.047286987,WALKING
1569902143095,0.046691895,9.03273,0.0460968,WALKING
1569902143115,0.22146606,9.863525,-0.22445679,WALKING
